pNPA (mM),slopes,Initial Velocities
1,0.0005571428571428576,0.03041172800998131
0.5,0.0005392857142857147,0.029436993137866522
0.25,0.0004999999999999995,0.027292576419213947
0.125,0.00045,0.024563318777292578
0.0625,0.0005107142857142856,0.02787741734248284
0.03125,0.0004928571428571429,0.02690268247036806
0.015625,0.00035714285714285714,0.019494697442295695
0.0078125,0.00022857142857142854,0.012476606363069244
0.00390625,0.00011071428571428572,0.006043356207111666
0.00195313,7.142857142857137e-05,0.0038989394884591357
