Sample #,[pNPA] (mM),0,10,20,30,40,50,60
1,1,0.584,0.589,0.595,0.6,0.606,0.612,0.617
2,0.5,0.38,0.385,0.39,0.4,0.401,0.407,0.412
3,0.25,0.244,0.249,0.254,0.259,0.264,0.269,0.274
4,0.125,0.181,0.185,0.19,0.194,0.199,0.203,0.208
5,0.0625,0.136,0.141,0.146,0.151,0.156,0.161,0.167
6,0.03125,0.115,0.121,0.125,0.13,0.135,0.14,0.145
7,0.015625,0.001,0.005,0.009,0.013,0.016,0.02,0.022
8,7.81E-03,0.051,0.054,0.057,0.059,0.061,0.063,0.065
9,3.91E-03,0.006,0.008,0.01,0.011,0.012,0.012,0.013
10,1.95E-03,-0.029,-0.028,-0.027,-0.026,-0.025,-0.025,-0.025
